CODE_ETU,NOTE_S1,RESULT_S1,NOTE_S2,RESULT_S2,NOTE_S3,RESULT_S3,NOTE_S4,RESULT_S4,NOTE_ANNE_1,RESULT_ANNE_1,NOTE_ANEE_2,RESULT_ANNE_2,PARCOURS,ANNE_1,ANNE_2
13013139.0,8.28,AC,8.61,AC,1.13,NV,2.17,NV,8.44,AC,1.65,NV,BCG,2014.0,2014.0
13013148.0,3.72,NV,0.0,NP,0.0,NP,0.0,NP,1.86,NV,0.0,NP,BCG,2014.0,
13013159.0,4.18,NV,3.88,NV,0.0,NP,0.0,NP,4.03,NV,0.0,NP,BCG,2014.0,2014.0
13013160.0,9.77,AC,10.65,V,4.38,NV,2.21,NV,10.21,V,3.3,NV,BCG,2014.0,2014.0
13013174.0,4.75,NV,1.68,NV,0.0,NP,0.0,NP,3.22,NV,0.0,NP,BCG,2014.0,2014.0
13013177.0,10.03,V,9.45,AC,0.0,NP,1.0,NV,9.74,AC,0.5,NV,BCG,2014.0,2014.0
13013180.0,7.48,AC,8.19,AC,1.41,NV,1.67,NV,7.84,AC,1.54,NV,BCG,2014.0,2014.0
13013184.0,1.5,NV,0.0,NP,0.0,NP,0.0,NP,0.75,NV,0.0,NP,BCG,2014.0,
13013185.0,1.67,NV,3.33,NV,0.0,NP,0.0,NP,2.5,NV,0.0,NP,BCG,2014.0,2014.0
13013197.0,7.51,AC,5.68,NV,0.42,NV,1.83,NV,6.6,NV,1.13,NV,BCG,2014.0,2014.0
13013278.0,5.1,NV,5.9,NV,0.04,NV,0.0,NP,5.5,NV,0.02,NV,BCG,2014.0,2015.0
13013398.0,5.84,NV,1.73,NV,0.0,NP,0.0,NP,3.79,NV,0.0,NP,BCG,2014.0,2014.0
13013443.0,9.53,AC,8.6,AC,0.0,NP,1.67,NV,9.07,AC,0.83,NV,BCG,2014.0,2014.0
13013474.0,10.26,V,7.17,AC,9.25,AC,10.76,V,8.71,AC,10.01,V,BCG,2013.0,2014.0
13013531.0,12.44,V,12.18,V,0.0,NP,3.56,NV,12.31,V,1.78,NV,BCG,2014.0,2014.0
13013602.0,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,BCG,,
13013632.0,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,BCG,,
13013652.0,5.19,NV,4.16,NV,1.24,NV,0.71,NV,4.68,NV,0.98,NV,BCG,2014.0,2014.0
13013660.0,4.74,NV,2.95,NV,0.15,NV,0.0,NP,3.84,NV,0.08,NV,BCG,2014.0,2014.0
13013661.0,7.38,AC,6.56,NV,0.12,NV,1.67,NV,6.97,NV,0.9,NV,BCG,2014.0,2014.0
13013684.0,0.33,NV,1.72,NV,0.0,NP,0.0,NP,1.03,NV,0.0,NP,BCG,2015.0,2014.0
13013695.0,9.08,AC,8.79,AC,0.25,NV,1.42,NV,8.94,AC,0.83,NV,BCG,2014.0,2014.0
13013696.0,10.95,V,5.94,NV,4.58,NV,12.01,V,8.44,AC,8.3,AC,BCG,2013.0,2014.0
13013700.0,8.98,AC,7.58,AC,0.0,NP,0.0,NP,8.28,AC,0.0,NP,BCG,2014.0,2015.0
13013707.0,2.02,NV,1.95,NV,0.0,NP,0.0,NP,1.99,NV,0.0,NP,BCG,2014.0,2014.0
13013843.0,0.11,NV,2.02,NV,0.0,NP,0.0,NP,1.06,NV,0.0,NP,BCG,2014.0,2014.0
13013968.0,10.38,V,11.36,V,3.55,NV,2.12,NV,10.87,V,2.84,NV,BCG,2014.0,2014.0
13013972.0,2.0,NV,2.0,NV,0.0,NP,0.0,NP,2.0,NV,0.0,NP,BCG,2014.0,2014.0
13013976.0,5.01,NV,8.42,AC,0.19,NV,1.67,NV,6.71,NV,0.93,NV,BCG,2014.0,2014.0
13014089.0,2.44,NV,2.24,NV,0.0,NP,0.0,NP,2.34,NV,0.0,NP,BCG,2014.0,2014.0
13014092.0,9.07,AC,7.39,AC,6.59,NV,10.54,V,8.23,AC,8.57,AC,BCG,2013.0,2014.0
13014121.0,0.0,NP,1.74,NV,0.0,NP,0.0,NP,0.87,NV,0.0,NP,BCG,,2014.0
13014136.0,5.92,NV,4.79,NV,1.52,NV,1.17,NV,5.35,NV,1.34,NV,BCG,2014.0,2014.0
13014135.0,10.17,V,5.7,NV,2.95,NV,10.92,V,7.94,AC,6.94,NV,BCG,2013.0,2014.0
13014173.0,5.38,NV,3.87,NV,0.0,NP,0.0,NP,4.62,NV,0.0,NP,BCG,2014.0,2014.0
13014235.0,10.01,V,10.88,V,5.22,NV,6.25,NV,10.44,V,5.73,NV,BCG,2014.0,2014.0
13014293.0,11.23,V,14.26,V,4.09,NV,2.5,NV,12.74,V,3.3,NV,BCG,2014.0,2014.0
13014308.0,10.86,V,10.25,V,1.85,NV,2.19,NV,10.56,V,2.02,NV,BCG,2014.0,2014.0
13014362.0,5.54,NV,12.52,V,10.44,V,3.39,NV,9.03,AC,6.92,NV,BCG,2014.0,2014.0
13014363.0,9.02,AC,8.22,AC,1.52,NV,2.0,NV,8.62,AC,1.76,NV,BCG,2014.0,2014.0
13014365.0,0.0,NP,1.67,NV,0.0,NP,0.0,NP,0.83,NV,0.0,NP,BCG,,2014.0
13014380.0,8.46,AC,7.93,AC,4.02,NV,3.19,NV,8.2,AC,3.61,NV,BCG,2014.0,2014.0
13014462.0,5.31,NV,2.6,NV,0.0,NP,0.0,NP,3.96,NV,0.0,NP,BCG,2014.0,2015.0
